Event,Lifecycle,Description,How to reproduce,Key properties,Trigger point
console:app_load,adoption,"Console iframe mounted/opened (once per load).","Open the console URL / the converse-ai tab that embeds it.","is_iframed; scope_present; has_user_identity; department","app/page.tsx mount effect"
console:load_duration,adoption,"Item fetch finished; carries load time.","Load the console and wait for the queue to render.","load_ms; is_slow; pending_count; completed_count; merged_count","app/page.tsx fetch .then"
console:empty,adoption,"Loaded fine but scope has zero items.","Open the console for a team/department with no action items.","department","app/page.tsx count-0 branch"
console:scope_missing,adoption,"Opened without full scope (enterprise/team/token).","Open the console URL with no enterpriseId/teamId/token (bare Vercel URL).","has_enterprise_id; has_team_id; has_token","app/page.tsx mount effect"
console:department_switch,adoption,"User or host switched Sales <-> Service.","Click the Service toggle top-right, then Sales.","from; to; changed_via","app/page.tsx toggle onClick / host message"
item:open,activation,"Selected an action item/group; right pane shows it.","Click any customer/item row in the queue.","itemProps; group_by","ActionItemsConsole pickItem"
call:drawer_open,activation,"Call/conversation drawer opened for an item.","Open an item, then click Listen or Transcript.","itemProps; mode","ActionItemsConsole sourceView effect"
call:recording_play,activation,"Recording actually started playing (aha moment).","Open the drawer on an item with a recording; press play on the waveform.","action_item_id; call_id; is_fallback_call","CallConversationDrawer WaveformPlayer onPlay"
call:transcript_view,activation,"Opened the Transcript tab in the drawer.","In the drawer, click the Transcript tab.","is_messaging; turn_count","CallConversationDrawer tab onClick"
item:resolve,activation,"Item resolved with an outcome.","Open an item; click Resolve; pick an outcome; confirm.","itemProps; resolution_type; has_note; assignee_after; is_live","ActionItemsConsole resolveTyped"
item:first_resolve,activation,"First resolve of the session (once) + time-to-value.","Load fresh; resolve your first item (won't fire again until reload).","resolution_type; time_to_first_resolve_ms","ActionItemsConsole resolveTyped"
item:assign,activation,"Item assigned to a rep.","Open an item; click Assign; pick a user.","itemProps; assignee_user_id; assign_success","ActionItemsConsole assign"
item:flag_incorrect,activation,"Item flagged Incorrect (optionally reclassified).","Open an item; click Incorrect; pick a reason (optionally corrected intent); confirm.","incorrect_reason; is_reclassify; corrected_intent_id; original_intent_id","ActionItemsConsole markIncorrect"
queue:tab_switch,engagement,"Switched Unresolved/Resolved/Incorrect tabs.","Click the Resolved tab, then Incorrect.","tab; count","ActionItemsConsole tab onClick"
queue:filter,engagement,"Changed a dropdown filter (Intent/Assignment/Channel).","Change the Intent (or Assignment/Channel) dropdown.","filter_key; filter_value","ActionItemsConsole handleFiltersChange"
queue:chip_toggle,engagement,"Toggled a boolean quick-chip (Repeat callers/Callbacks).","Click the Repeat callers chip, then Callbacks.","chip_key; active","ActionItemsConsole handleFiltersChange"
queue:clear_filters,engagement,"Cleared filters (or a change resetting 3+ at once).","Apply a few filters, then click Clear.","cleared_count","ActionItemsConsole handleFiltersChange"
queue:hero_metric_click,engagement,"Clicked an SLA hero tile to filter the queue.","Click the Past SLA / Unassigned / Repeat callers number tile at top.","metric; patch keys","ActionItemsConsole applyQuickFilter"
queue:group_by_change,engagement,"Changed the Group-by control.","Change Group by to Intent / Assignee / None.","group_by","ActionItemsConsole onGroupBy"
queue:resolve_all,engagement,"Bulk-resolved all visible items for a customer/group.","On a customer with multiple items, click Resolve all N.","item_count; group_by","ActionItemsConsole resolveAll"
item:restore,engagement,"Restored an Incorrect item to the queue.","Go to Incorrect tab; click Restore on an item.","action_item_id","ActionItemsConsole undoIncorrect"
customer:sidebar_open,engagement,"Opened the customer side drawer.","Click a customer name in the queue/right pane.","customer_id","ActionItemsConsole sidebar effect"
search:perform,engagement,"Ran a search (debounced ~600ms).","Type a name/phone (2+ chars) in queue search; pause.","query_length; total_matches; customer_matches; item_matches","CategorizedSearchBox effect"
search:result_pick,engagement,"Clicked a search result row.","Search, then click a Customer/Intent/Action item result.","result_type","ActionItemsConsole onPick*"
call:browse_conversations,engagement,"Opened Browse all N conversations in the drawer.","Open a drawer where the item has no direct call; click Browse all N conversations.","conversation_count; customer_id","CallConversationDrawer button"
call:conversation_drill,engagement,"Opened a specific call/SMS from the browse list.","In the browse list, click one conversation card.","is_sms; is_this_item; has_recording","CallConversationDrawer card onClick"
call:transcript_seek,engagement,"Clicked a transcript line to seek the audio.","In the drawer, play a call; click any transcript turn.","at_sec","CallConversationDrawer seek"
sla:rules_open,engagement,"Opened the Rules (SLA) panel.","Click Rules next to the tabs.","(none)","ActionItemsConsole Rules button"
sla:rule_save,engagement,"An SLA rule saved to backend (live mode).","Open Rules; change an intent SLA value/unit; close the panel.","intent_code; minutes; department","ActionItemsConsole onPersistSla success"
console:load_fail,issue,"Initial item fetch failed (red error screen).","Open the console with a bad/expired token or unreachable env.","error_message; department; load_ms","app/page.tsx fetch .catch"
data:fetch_fail,issue,"A backend GET returned non-OK (items/completed/user-list).","Bad token, or DevTools block the request to force a 4xx/5xx.","endpoint; status_code; page","be-client.ts fetch guards"
data:fetch_partial,issue,"Backlog paging failed after page 1 (partial list).","On a large multi-page rooftop, force a mid-pagination failure (offline after page 1).","pages_fetched; items_so_far","be-client.ts pending loop"
call:report_load_fail,issue,"End-call report couldn't load (falls back to evidence).","Open a call item whose report 404s, or DevTools-block end-call-report-by-id.","status_code/error_message; had_own_source; drilled","CallConversationDrawer load effects"
call:recording_unavailable,issue,"Report loaded but no recording URL (amber no-recording).","Open a call item whose report has no stored audio.","call_id; is_messaging","CallConversationDrawer load effect"
call:fallback_shown,issue,"Amber banner: showing customer's latest call, not the item's own.","Open a call-type item with no linked call id where the customer has other calls.","action_item_id; customer_id","CallConversationDrawer load effect"
data:write_unreachable,issue,"Optimistic resolve/flag succeeded in view but BE write failed.","Block the write endpoint; Resolve or flag an item (toast Saved in view).","write_kind; action_item_id","ActionItemsConsole write handlers"
data:assign_fail,issue,"Assignment PATCH failed.","Block the assignment endpoint; Assign an item (Could not assign).","action_item_id; lead_id","ActionItemsConsole assign"
data:sla_persist_fail,issue,"Saving an SLA rule to backend failed.","Block dealer-intent-config; edit an SLA and close (SLA saved in view).","intent_code; minutes; department","ActionItemsConsole onPersistSla failure"
search:zero_results,issue,"A search returned no matches.","Type a query that matches nothing (e.g. zzzzz); pause.","query_length","CategorizedSearchBox effect"
queue:empty_after_filters,issue,"Filters/search hid the whole queue while pending work exists.","Apply a filter combo or search that matches nothing while items exist.","has_search","ActionItemsConsole effect"
